idx,actual,predicted,prob_X1,prob_diff,misclassified,error_type,validation_type,numCrash,log_exp,DOWNTOWN_Y,Presence.of.stop.sign,Presence.of.curve.sign,Presence.of.vehicle.sign,Roadway.segment.count,TradeLandUse,ServiceLandUse,RecreationalLandUse,UnderdevelopedLandUse,Total.sidewalk.length..ft.,TransportationLandUse,crsh_oddyr,crsh_eveny,crash
6206,X0,X1,0.7589509338140488,0.7589509338140488,TRUE,False Positive,temporal,0,3.183523941189664,0,1,0,0,3,0.026218512,0.161220019,0,0.181831531,1.003389,0,NA,NA,NA
9711,X0,X1,0.7589509338140488,0.7589509338140488,TRUE,False Positive,temporal,0,3.19495725357692,0,1,0,0,3,0.026218512,0.161220019,0,0.181831531,1.158943,0,0,0,0
3382,X0,X1,0.7587824612855911,0.7587824612855911,TRUE,False Positive,temporal,0,3.357958251558896,0,0,0,0,3,0.084775437,0.198248944,0.001570978,0.049696281,0.8779371424,0,NA,NA,NA
3299,X0,X1,0.7587748616933823,0.7587748616933823,TRUE,False Positive,temporal,0,2.06819972329528,0,0,0,0,4,0.287325138,0.140072249,0.010674821,0.048964913,1.112306576,0.014616353,0,0,0
4532,X0,X1,0.7582763284444809,0.7582763284444809,TRUE,False Positive,temporal,2,2.153051112761666,0,1,0,1,3,0.009059198,0.235270274,0.135578029,0.045752394,0.7653012788,0.013818764,NA,NA,NA
11517,X0,X1,0.7580364495515823,0.7580364495515823,TRUE,False Positive,temporal,0,2.453518015582842,0,1,0,0,4,0.04868492,0.2205977,0.00678023,0.05177087,1.189115,0,NA,NA,NA
8446,X0,X1,0.7574396282434464,0.7574396282434464,TRUE,False Positive,temporal,0,1.827397515100216,0,0,0,1,4,0.1104894,0.03716062,0.01438681,0.04479065,1.188833,0.002296943,NA,NA,NA
13371,X0,X1,0.7569109350442886,0.7569109350442886,TRUE,False Positive,temporal,0,2.656987828967972,0,1,0,0,3,0.2524736,0.03458739,0,0.06684556,0.6412387,0.08455815,NA,NA,NA
506,X0,X1,0.7568762898445129,0.7568762898445129,TRUE,False Positive,temporal,0,3.043365367492801,0,1,0,0,3,0.034771888,0.199746332,0.08176838,0.031884699,0.5272135282,0.029194113,NA,NA,NA
11967,X0,X1,0.7567939162254333,0.7567939162254333,TRUE,False Positive,temporal,0,3.95536755603903,0,0,0,0,4,0.03597288,0.221097338,0.006210578,0.11915224,0.6323752,0.05279876,0,0,0
2955,X0,X1,0.755324974656105,0.755324974656105,TRUE,False Positive,temporal,0,2.668117689861581,0,1,0,0,3,0.064822136,0.180849083,0.336964023,0.037880873,0.7612925974,0,NA,NA,NA
9796,X0,X1,0.7552919983863831,0.7552919983863831,TRUE,False Positive,temporal,2,1.381351505266582,0,0,0,0,4,0.2868159,0.216956,0,0.02655787,0.8446047,0.2204134,NA,NA,NA
3316,X0,X1,0.7550828903913498,0.7550828903913498,TRUE,False Positive,temporal,0,2.897316120774845,0,1,0,0,4,0.081918293,0.06226243,0.009032807,0.033972316,1.188851778,0,NA,NA,NA
8316,X0,X1,0.7549585998058319,0.7549585998058319,TRUE,False Positive,temporal,0,2.506733133237165,0,1,0,0,4,0.05128803,0.1268626,0.01236051,0.0214088,0.8623052,0,NA,NA,NA
6906,X0,X1,0.7548675835132599,0.7548675835132599,TRUE,False Positive,temporal,1,1.242356633975996,0,1,0,0,4,0.2500857,0.2717102,0,0.03045246,1.165224,0.1008171,NA,NA,NA
6430,X0,X1,0.7547591328620911,0.7547591328620911,TRUE,False Positive,temporal,1,3.415517356983599,0,1,0,0,3,0.037179933,0.159751911,0.006526387,0.10974699,0.8278944,0.05401359,NA,NA,NA
4679,X0,X1,0.7547145336866379,0.7547145336866379,TRUE,False Positive,temporal,0,2.169994891670158,0,1,0,0,3,0.105965323,0.145214497,0.160660774,0.114938434,0.8092615861,0.003332034,NA,NA,NA
5212,X0,X1,0.7547145336866379,0.7547145336866379,TRUE,False Positive,temporal,0,2.196856720821408,0,1,0,0,3,0.105965323,0.145214497,0.160660774,0.114938434,0.8828085,0.003332034,NA,NA,NA
6729,X1,X0,0.24528741836547852,0.7547125816345215,TRUE,False Negative,temporal,2,1.222839695215602,0,1,0,0,4,0.009262724,0.02534964,0.006891529,0.008777243,1.123411,0,NA,NA,NA
11802,X0,X1,0.7545687556266785,0.7545687556266785,TRUE,False Positive,temporal,0,3.402420743445299,0,1,0,0,3,0.041157547,0.052023404,0.006446515,0.022120687,1.127708,0,NA,NA,NA
2322,X0,X1,0.7544998675584793,0.7544998675584793,TRUE,False Positive,temporal,1,3.155043025098259,0,1,0,0,3,0.041567126,0.330870177,0.004734075,0.110153772,0.8184976902,1.91198e-4,NA,NA,NA
5388,X1,X0,0.24564898014068604,0.754351019859314,TRUE,False Negative,temporal,1,1.618846458967239,0,1,0,0,3,0,0,0.2579605,0.06111462,0.5819277,0,NA,NA,NA
1860,X0,X1,0.7538789063692093,0.7538789063692093,TRUE,False Positive,temporal,2,1.034581844680688,0,1,0,1,3,0.084246342,0.137982876,0.001775075,0.049086811,0.8995523364,0,NA,NA,NA
6779,X0,X1,0.7538789063692093,0.7538789063692093,TRUE,False Positive,temporal,2,1.028941129363349,0,1,0,1,3,0.084246342,0.137982876,0.001775075,0.049086811,0.8747595,0,NA,NA,NA
6300,X0,X1,0.7536439448595047,0.7536439448595047,TRUE,False Positive,temporal,1,2.141468802120987,0,1,0,0,4,0.06793893,0.1256172,0.02221848,0.03541831,1.085198,0.04201241999999999,NA,NA,NA
4711,X0,X1,0.7535324394702911,0.7535324394702911,TRUE,False Positive,temporal,0,2.503662405673717,0,1,0,1,4,0.010824935,0.084131904,0.05433586,0.092727897,0.9363414132,0,NA,NA,NA
11588,X0,X1,0.7533834129571915,0.7533834129571915,TRUE,False Positive,temporal,0,2.432846352709312,0,1,0,1,3,0.010824935,0.104264737,0.070841096,0.099553829,0.7996493,0,NA,NA,NA
4943,X0,X1,0.7533709108829498,0.7533709108829498,TRUE,False Positive,temporal,0,2.863396770549255,0,0,0,0,4,0.057378134,0.105512827,0.021971823,0.050101549,1.1889423670000001,0.054964726,NA,NA,NA
2804,X0,X1,0.7532921731472015,0.7532921731472015,TRUE,False Positive,temporal,2,2.546940415903235,0,1,0,1,4,0.091360957,0.025268337,0.002034227,0.124718809,1.070867637,7.866819999999999e-4,NA,NA,NA
7193,X1,X0,0.24690759181976318,0.7530924081802368,TRUE,False Negative,temporal,1,1.204017698171245,0,1,0,0,4,0.005258426,0.04190449,0,0.01322431,1.183102,0,NA,NA,NA
12903,X1,X0,0.24738943576812744,0.7526105642318726,TRUE,False Negative,temporal,1,1.448225727677409,0,1,0,0,4,0.006366236,0.007674373,0.07364953,0.007723914,0.5273552,0,NA,NA,NA
8552,X1,X0,0.24739110469818115,0.7526088953018188,TRUE,False Negative,temporal,2,1.1681012078388,0,1,0,0,4,0.02266707,0.006313819000000001,0,0.003789557,0.9684048,0,1,1,2
13670,X0,X1,0.752583235502243,0.752583235502243,TRUE,False Positive,temporal,1,3.356586912335427,0,1,0,0,3,0.03771692,0.05357986000000001,0.01066387,0.02121304,1.111455,0,NA,NA,NA
12562,X1,X0,0.24746477603912354,0.7525352239608765,TRUE,False Negative,temporal,1,2.18563287121468,0,0,0,0,4,9.45671e-4,0.001007777,4.03808e-4,0.00715942,1.072433,0,1,0,1
10107,X1,X0,0.2475023865699768,0.7524976134300232,TRUE,False Negative,temporal,1,1.179346559963781,0,1,0,0,4,0.015058,0.02906183,0,0.05678731,0.9945048,0,NA,NA,NA
12409,X0,X1,0.7521967142820358,0.7521967142820358,TRUE,False Positive,temporal,0,3.05620288299736,0,1,0,0,4,0.02984672,0.05450501,0.02998466,0.02444639,1.174657,0,0,0,0
11397,X0,X1,0.7518259286880493,0.7518259286880493,TRUE,False Positive,temporal,0,2.082403317963025,0,1,0,0,3,0.154611,0.1566166,0.06258203,0.1333222,0.8450133,2.4038e-4,NA,NA,NA
11707,X0,X1,0.7517977058887482,0.7517977058887482,TRUE,False Positive,temporal,0,1.85889826762367,0,0,0,0,3,0.1901394,0.08559596000000001,0.07598341,0.03690181,0.9046831,0.00737688,0,0,0
5679,X0,X1,0.7516545057296753,0.7516545057296753,TRUE,False Positive,temporal,0,1.429993961826326,0,1,0,0,4,0.1667074,0.03512856,0.105974,0.02400343,1.115959,0,NA,NA,NA
5451,X0,X1,0.7513988614082336,0.7513988614082336,TRUE,False Positive,temporal,0,1.887967487955872,0,1,0,0,4,0.1176563,0.1255112,0,0.05677842,0.9411434,0.006754860000000001,NA,NA,NA
12003,X0,X1,0.751022219657898,0.751022219657898,TRUE,False Positive,temporal,2,2.149674277733137,0,1,0,1,3,0.009059198,0.235270274,0.135578029,0.045752394,0.8347808,0.01381876,NA,NA,NA
12799,X0,X1,0.750925824046135,0.750925824046135,TRUE,False Positive,temporal,0,1.891261790446185,0,1,0,0,4,0.086787433,0.122666564,0.016611255,0.118942684,1.058084,0.002993895,NA,NA,NA
3024,X0,X1,0.7508303821086884,0.7508303821086884,TRUE,False Positive,temporal,0,2.366598792663763,0,1,0,0,4,0.088202539,0.138171211,0.007771081,0.273894845,0.9948925644,0.01715028,NA,NA,NA
4596,X0,X1,0.7508303821086884,0.7508303821086884,TRUE,False Positive,temporal,0,2.355303298407291,0,1,0,0,4,0.088202539,0.138171211,0.007771081,0.273894845,0.9369471615,0.017818558,NA,NA,NA
4686,X0,X1,0.7505563944578171,0.7505563944578171,TRUE,False Positive,temporal,0,2.016351240777492,0,1,0,0,4,0.108254461,0.147809651,0.02653357,0.037284624,1.175542556,0.002230666,NA,NA,NA
